,Anime Title,Score_reference,Score_reference2,Type,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season,Manga_score,Age
384,Kareshi Kanojo no Jijou,Medium,Good,TV,26,"Oct 2, 1998 to Mar 26, 1999","TV Tokyo, GANSIS","Gainax,       J.C.Staff",Manga,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",7.61,162342,2081,1.282,0,4,5,4,8.16,22
386,Maoujou de Oyasumi,Medium,Good,TV,12,"Oct 6, 2020 to ?",Lantis,Doga Kobo,Manga,"Slice of Life, Comedy, Supernatural, Magic, Fantasy, Shounen",7.61,50602,191,0.377,0,18,4,4,8.66,0
387,Mitsudomoe,Medium,Good,TV,13,"Jul 3, 2010 to Sep 26, 2010","Aniplex, Lantis, Cospa, Studio Mausu, Akita Shoten",Bridge,Manga,"Comedy, School, Slice of Life",7.61,88642,563,0.635,0,4,24,3,7.23,10
390,Osomatsu-san 2nd Season,Medium,Good,TV,25,"Oct 3, 2017 to Mar 27, 2018","TV Tokyo, Dentsu, Rakuonsha, AT-X, Avex Pictures, Daiichi Shokai",Studio Pierrot,Manga,"Comedy, Parody",7.61,41138,254,0.617,0,4,12,4,6.97,3
391,Over Drive,Medium,Good,TV,26,"Apr 4, 2007 to Sep 26, 2007","Sotsu, Pony Canyon",Xebec,Manga,"Shounen, Sports",7.61,38521,217,0.563,0,8,23,2,9.21,13
392,Rokuhoudou Yotsuiro Biyori,Medium,Good,TV,12,"Apr 11, 2018 to Jun 27, 2018",,Zexcs,Manga,"Seinen, Slice of Life",7.61,21736,108,0.497,0,17,18,2,6.83,2
393,Sakamoto Desu ga?,Medium,Good,TV,12,"Apr 8, 2016 to Jul 1, 2016","Kadokawa Shoten, TBS, DAX Production, Daiichikosho, King Records, NichiNare",Studio Deen,Manga,"Slice of Life, Comedy, School, Seinen",7.61,498398,1987,0.399,0,18,4,2,6.73,4
394,Seitokai Yakuindomo,Medium,Good,TV,13,"Jul 4, 2010 to Sep 26, 2010","Starchild Records, Dream Force",GoHands,4-koma manga,"Comedy, School, Shounen, Slice of Life",7.61,375130,2995,0.798,0,4,24,3,7.92,10
396,Tsubasa Chronicle 2nd Season,Medium,Good,TV,26,"Apr 29, 2006 to Nov 4, 2006",NHK,Bee Train,Manga,"Action, Adventure, Fantasy, Romance, Supernatural, Drama, Mystery, Shounen",7.61,102588,533,0.52,0,1,3,2,6.97,14
399,Ushio to Tora (TV),Medium,Good,TV,26,"Jul 3, 2015 to Dec 25, 2015","Sotsu, Showgate, Tokuma Japan Communications, Daiichi Shokai","MAPPA,       Studio VOLN",Manga,"Action, Adventure, Comedy, Demons, Shounen, Supernatural",7.61,171614,663,0.386,0,1,3,3,8.59,5
402,Yuru Yuri,Medium,Good,TV,12,"Jul 5, 2011 to Sep 20, 2011","TV Tokyo, Daume, Sotsu, Pony Canyon, DAX Production, Studio Gram, PRA, Jumondo",Doga Kobo,Manga,"Slice of Life, Comedy, School, Shoujo Ai",7.61,268730,4329,1.611,0,18,4,3,7.42,9
420,Aa! Megami-sama!: Sorezore no Tsubasa,Medium,Good,TV,22,"Apr 7, 2006 to Sep 15, 2006","TBS, Kodansha, Imagine",AIC,Manga,"Comedy, Magic, Romance, Seinen, Supernatural",7.59,56383,184,0.326,0,4,6,2,7.59,14
424,Bishoujo Senshi Sailor Moon SuperS,Medium,Good,TV,39,"Mar 4, 1995 to Mar 2, 1996",TV Asahi,Toei Animation,Manga,"Drama, Magic, Romance, Shoujo",7.59,85528,497,0.581,0,5,6,1,8.19,25
426,D-Frag!,Medium,Good,TV,12,"Jan 7, 2014 to Mar 25, 2014","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, DAX Production, Sony Music Communications, Toranoana",Brain's Base,Manga,"Game, Comedy, School, Seinen",7.59,302451,2148,0.71,0,16,4,1,6.93,6
