,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
9118,Kakko Kawaii Sengen!,TV,Bad,5,"Nov 5, 2010 to Dec 3, 2010",,,Original,Comedy,5.64,1102,1,0.091,5,4,0,4
9125,Anitore! XX: Hitotsu Yane no Shita de,TV,Bad,12,"Oct 5, 2016 to Dec 21, 2016","F.M.F, Smiral Animation",Rising Force,Original,"Comedy, Sports",5.63,12351,8,0.065,5,4,23,4
9130,Divine Gate,TV,Bad,12,"Jan 8, 2016 to Mar 25, 2016",,Studio Pierrot,Game,"Action, Sci-Fi, Fantasy",5.63,139439,244,0.175,2,1,10,1
9132,Gal to Kyouryuu,TV,Bad,12,"Apr 5, 2020 to ?",,"Kamikaze Douga,       Space Neko Company",Manga,"Slice of Life, Comedy, Seinen",5.63,19171,24,0.125,0,18,4,2
9138,Meshimase Lodoss-tou Senki: Sorette Oishii no?,TV,Bad,13,"Apr 6, 2014 to Jun 29, 2014","Kadokawa Shoten, DAX Production","Studio Deen,       Studio Hibari",Unknown,Comedy,5.63,2017,3,0.149,3,4,0,2
9142,Platonic Chain,TV,Bad,24,"Oct 5, 2002 to Mar 29, 2003",ACiD FiLM,,Novel,"Sci-Fi, Slice of Life",5.63,2175,3,0.138,0,10,18,4
9172,ARP Backstage Pass,TV,Bad,10,"Jan 13, 2020 to Mar 30, 2020","Avex Entertainment, Mainichi Broadcasting System, Asmik Ace, Tokyo MX, Kadokawa, YUKE'S",Dynamo Pictures,Other,Music,5.61,4587,10,0.218,3,28,0,1
9180,Hagane Orchestra,TV,Bad,12,"Oct 10, 2016 to Dec 26, 2016",,Fanworks,Game,"Game, Adventure, Comedy, Parody",5.61,4218,1,0.024,2,16,3,4
9188,Momo Kyun Sword,TV,Bad,12,"Jul 9, 2014 to Sep 24, 2014",flying DOG,"Project No.9,       Tri-Slash",Light novel,"Comedy, Ecchi, Fantasy",5.61,28224,24,0.085,1,4,35,3
9193,Pan de Peace!,TV,Bad,13,"Apr 3, 2016 to Jun 26, 2016","Jinnan Studio, Contents Seed",Asahi Production,4-koma manga,"Slice of Life, Comedy, School",5.61,27362,26,0.095,0,18,4,2
9204,Oyako Club,TV,Bad,1818,"Oct 3, 1994 to Mar 30, 2013",Fuji TV,Eiken,Original,"Slice of Life, Comedy",5.6,652,0,0.0,5,18,4,4
9220,Anime Kapibara-san,TV,Bad,Unknown,"Oct 9, 2020 to ?",Jinnan Studio,"Shin-Ei Animation,       Lesprit",Other,Comedy,5.6,1102,7,0.635,3,4,0,4
9228,Glass no Kamen Desu ga,TV,Bad,3,"Apr 7, 2013 to Apr 21, 2013",,DLE,Unknown,"Comedy, Parody",5.59,1190,1,0.084,3,4,12,2
9233,Koroshiya-san: The Hired Gun,TV,Bad,10,"Oct 11, 2013 to Dec 13, 2013","KlockWorx, Studio Mausu",Opera House,4-koma manga,"Action, Comedy, Police, Seinen, Thriller",5.59,6170,4,0.065,0,1,4,4
9240,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",TV,Bad,12,"Oct 2, 2017 to Dec 18, 2017",Studio Mausu,Seven,Digital manga,"Ecchi, Romance, School",5.59,45658,147,0.322,0,35,20,4
9249,One Room,TV,Bad,12,"Jan 11, 2017 to Mar 29, 2017",Smiral Animation,Typhoon Graphics,Original,Slice of Life,5.58,80568,116,0.144,5,18,0,1
9250,Ookami-san wa Taberaretai,TV,Bad,3,"Sep 7, 2020 to Sep 21, 2020","Studio Mausu, Suiseisha",Peak Hunt,Manga,"Ecchi, Romance",5.58,8021,42,0.524,0,35,20,3
9279,Duel Masters VSR,TV,Bad,51,"Apr 5, 2015 to Mar 27, 2016",Shogakukan-Shueisha Productions,Ascension,Original,"Action, Adventure, Comedy, Shounen",5.57,976,0,0.0,5,1,3,2
9282,Guraburu!,TV,Bad,Unknown,"Oct 8, 2020 to ?",dugout,"W-Toon Studio,       DMM.futureworks",4-koma manga,"Adventure, Fantasy",5.57,7082,5,0.071,0,3,7,4
9286,Peter Grill to Kenja no Jikan,TV,Bad,12,"Jul 11, 2020 to Sep 26, 2020",,Wolfsbane,Manga,"Harem, Comedy, Ecchi, Fantasy",5.57,95801,862,0.9,0,39,4,3
9291,Tachibanakan Triangle,TV,Bad,12,"Apr 4, 2018 to Jun 20, 2018","Ichijinsha, Cloud22","Creators in Pack,       Studio Lings",Manga,"Comedy, Ecchi, Shoujo Ai",5.57,47700,60,0.126,0,4,35,2
9294,W'z,TV,Bad,13,"Jan 6, 2019 to Mar 31, 2019","Frontier Works, Mainichi Broadcasting System, Movic, Sony Music Communications, Glovision, Hakuhodo DY Music & Pictures, Medicos Entertainment, Kadokawa Media House, Sega Interactive, GOON TRAX, FABTONE",GoHands,Original,"Action, Music",5.57,19077,36,0.189,5,1,28,1
9296,Pacusi,TV,Bad,18,"Apr 4, 1994 to Jan 5, 1995",NHK,,Unknown,Comedy,5.56,392,0,0.0,3,4,0,2
9299,Q Transformers: Kaette Kita Convoy no Nazo,TV,Bad,13,"Jan 6, 2015 to Mar 31, 2015",Bouncy,DLE,Unknown,"Slice of Life, Parody, Mecha",5.56,826,0,0.0,3,18,12,1
9303,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,TV,Bad,12,"Jul 13, 2019 to Sep 28, 2019","Toranoana, Q-Tec, Contents Seed",J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",5.56,161724,351,0.217,1,3,4,3
9308,Bakugan: Armored Alliance,TV,Bad,52,"Apr 3, 2020 to ?",,TMS Entertainment,Original,"Action, Fantasy, Game",5.56,1266,4,0.316,5,1,7,2
9311,Business Fish,TV,Bad,6,"Jul 8, 2019 to Aug 12, 2019",,,Original,"Slice of Life, Comedy",5.56,2901,12,0.414,5,18,4,3
9313,Devidol!,TV,Bad,11,"Oct 5, 2018 to Dec 21, 2018",,,Other,Comedy,5.56,1916,1,0.052,3,4,0,4
9315,Hei Mao Jing Zhang,TV,Bad,5,"Jan, 1984 to Dec, 1984",,Shanghai Animation Film Studio,Original,"Action, Adventure, Cars, Comedy, Kids, Police",5.56,336,1,0.298,5,1,3,1
9324,Lime-iro Ryuukitan X,TV,Bad,13,"Jan 5, 2005 to Mar 30, 2005",KSS,A.C.G.T.,Visual novel,"Harem, Historical, Supernatural, Drama, Ecchi, Mecha",5.56,3575,2,0.056,1,39,11,1
9341,Hit wo Nerae!,TV,Bad,8,"Mar 9, 2004 to Apr 27, 2004",m.o.e.,"Imagin,       Studio Live",Original,"Comedy, Ecchi",5.55,5127,1,0.02,5,4,35,1
