,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
4103,Mahou no Princess Minky Momo,TV,Bad,63,"Mar 18, 1982 to May 26, 1983",,Production Reed,Original,"Magic, Shoujo",6.75,5301,19,0.358,5,6,32,1
4104,Mahou Shoujo Lyrical Nanoha ViVid,TV,Bad,12,"Apr 3, 2015 to Jun 19, 2015","Aniplex, Starchild Records",A-1 Pictures,Manga,"Action, Adventure, Magic, Martial Arts",6.75,20941,45,0.215,0,1,3,2
4105,Meiken Lassie,TV,Bad,25,"Jan 14, 1996 to Aug 18, 1996",,Nippon Animation,Novel,"Adventure, Slice of Life, Kids",6.75,1029,2,0.194,0,3,18,1
4107,Nurse Angel Ririka SOS,TV,Bad,35,"Jul 7, 1995 to Mar 29, 1996","TV Tokyo, Nihon Ad Systems",Gallop,Manga,"Drama, Fantasy, Magic, Shoujo",6.75,2816,13,0.462,0,5,7,3
4113,Shichinin no Nana,TV,Bad,25,"Jan 10, 2002 to Jun 27, 2002","TV Tokyo, Hal Film Maker, Genco, Asatsu DK, d-rights, AT-X, Studio Jack",A.C.G.T.,Manga,"Adventure, Comedy, Magic, Romance, School",6.75,4799,16,0.333,0,3,4,1
4117,Suteki Tantei Labyrinth,TV,Bad,25,"Oct 3, 2007 to Mar 26, 2008",Sotsu,Studio Deen,Manga,"Mystery, Sci-Fi",6.75,8483,16,0.189,0,15,10,4
4120,Terra Formars: Revenge,TV,Bad,13,"Apr 2, 2016 to Jun 25, 2016","Warner Bros. Japan, Ultra Super Pictures, MAGES., Good Smile Company, Shueisha, Kyoraku Industrial Holdings, Animatic","TYO Animations,       LIDENFILMS",Manga,"Action, Sci-Fi, Space, Horror, Drama, Seinen",6.75,71927,96,0.133,0,1,10,2
4121,Tonagura!,TV,Bad,13,"Jul 9, 2006 to Oct 1, 2006",Starchild Records,Daume,Manga,"Comedy, Drama, Ecchi, Romance, School",6.75,41556,47,0.113,0,4,5,3
4124,Oz no Mahoutsukai (1986),TV,Bad,52,"Oct 6, 1986 to Sep 28, 1987",TV Tokyo,"Panmedia,       Meruhensha",Book,"Adventure, Kids, Fantasy",6.74,1839,9,0.489,1,3,36,4
4127,Seton Doubutsuki,TV,Bad,45,"Oct 14, 1989 to Dec 22, 1990",,,Unknown,"Adventure, Fantasy",6.74,452,2,0.442,3,3,7,4
4131,Teekyuu 4,TV,Bad,12,"Apr 7, 2015 to Jun 23, 2015","DAX Production, Earth Star Entertainment",Millepensee,Manga,"Comedy, Shounen, Sports",6.74,17871,18,0.101,0,4,8,2
4132,Tokyo Tribe 2,TV,Bad,13,"Nov 12, 2006 to Feb 18, 2007",Sony Music Entertainment,Madhouse,Unknown,"Action, Drama",6.74,8980,21,0.234,3,1,5,4
4134,Viper's Creed,TV,Bad,12,"Jan 6, 2009 to Mar 24, 2009",Sony Pictures Entertainment,"AIC Spirits,       Digital Frontier",Original,"Action, Military, Sci-Fi",6.74,9075,16,0.176,5,1,2,1
4138,Di Gi Charat,TV,Bad,16,"Nov 30, 1999 to Dec 24, 1999",Broccoli,Madhouse,Original,"Comedy, Fantasy, Sci-Fi",6.74,16961,105,0.619,5,4,7,4
4139,Dragon Drive,TV,Bad,38,"Jul 4, 2002 to Mar 27, 2003","Bandai Visual, Nihon Ad Systems, TV Tokyo Music",Madhouse,Manga,"Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen",6.74,19709,50,0.254,0,1,10,3
4140,Eat-Man '98,TV,Bad,12,"Oct 8, 1998 to Dec 23, 1998",,Studio Deen,Manga,"Action, Adventure, Sci-Fi, Shounen, Super Power",6.74,4503,9,0.2,0,1,3,4
4142,Fortune Arterial: Akai Yakusoku,TV,Bad,12,"Oct 9, 2010 to Dec 25, 2010","NTT Docomo, AMG MUSIC","feel.,       Zexcs",Visual novel,"Comedy, Romance, School, Supernatural, Vampire",6.74,100260,503,0.502,1,4,20,4
4148,Katsugeki/Touken Ranbu,TV,Bad,13,"Jul 2, 2017 to Sep 24, 2017","Aniplex, Nitroplus, Good Smile Company, DMM.com",ufotable,Game,"Action, Historical, Samurai, Fantasy",6.74,92981,378,0.407,2,1,11,3
4153,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),TV,Bad,13,"Jan 5, 2020 to Mar 29, 2020","Aniplex, Houbunsha, f4samurai",Shaft,Game,"Psychological, Drama, Magic, Thriller",6.74,99052,951,0.96,2,26,5,1
4158,Amaenaide yo!! Katsu!!,TV,Bad,12,"Jan 4, 2006 to Mar 22, 2006",,Studio Deen,Manga,"Comedy, Ecchi, Harem, Romance, Supernatural",6.73,44058,45,0.102,0,4,35,1
4160,Ao no Kanata no Four Rhythm,TV,Bad,12,"Jan 12, 2016 to Mar 29, 2016","TV Tokyo, Pony Canyon, AT-X, DLE, NBCUniversal Entertainment Japan, Docomo Anime Store, bilibili, Kanon Sound, Hobibox",Gonzo,Visual novel,"Sci-Fi, Sports, Drama, School",6.73,123287,509,0.413,1,10,23,1
4161,Bakuten Shoot Beyblade,TV,Bad,51,"Jan 8, 2001 to Dec 24, 2001","d-rights, Heewon Entertainment",Madhouse,Manga,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen",6.73,82756,349,0.422,0,1,10,1
4162,Bananya,TV,Bad,13,"Jul 4, 2016 to Sep 26, 2016","TMS Entertainment, DAX Production",Gathering,Original,"Slice of Life, Comedy, Kids",6.73,50576,273,0.54,5,18,4,3
4163,Blue Drop: Tenshi-tachi no Gikyoku,TV,Bad,13,"Oct 3, 2007 to Dec 26, 2007","BeSTACK, Memory-Tech, Showgate",Gonzo,Manga,"Sci-Fi, Drama, Shoujo Ai",6.73,26216,104,0.397,0,10,5,4
4164,Bonobono (TV),TV,Bad,48,"Apr 20, 1995 to Mar 28, 1996",Group TAC,,4-koma manga,Comedy,6.73,1094,12,1.097,0,4,0,2
4168,Dansai Bunri no Crime Edge,TV,Bad,13,"Apr 4, 2013 to Jun 27, 2013",Media Factory,Studio Gokumi,Manga,"Action, Romance, Fantasy, Seinen",6.73,93051,157,0.169,0,1,20,2
4172,Genki Bakuhatsu Ganbaruger,TV,Bad,47,"Apr 1, 1992 to Feb 24, 1993","TV Tokyo, Yomiuri Advertising",Sunrise,Original,"Mecha, Shounen",6.73,824,6,0.728,5,22,8,2
4174,Goshuushou-sama Ninomiya-kun,TV,Bad,12,"Oct 5, 2007 to Dec 21, 2007",Kadokawa Shoten,AIC Spirits,Light novel,"Harem, Comedy, Ecchi, Fantasy",6.73,85294,172,0.202,1,39,4,4
4175,Grenadier: Hohoemi no Senshi,TV,Bad,12,"Oct 14, 2004 to Jan 13, 2005","Shochiku, Kadokawa Shoten, Toshiba Entertainment",Group TAC,Manga,"Action, Ecchi, Adventure, Comedy, Shounen",6.73,48725,68,0.14,0,1,35,4
4178,Houkago no Pleiades (TV),TV,Bad,12,"Apr 9, 2015 to Jun 25, 2015","Dentsu, Warner Bros. Japan, KlockWorx, Showgate, BS Fuji, Lawson HMV Entertainment, Dentsu Razorfish, SUBARU",Gainax,Original,"Magic, Space",6.72,30230,100,0.331,5,6,25,2
4179,Houkago Saikoro Club,TV,Bad,12,"Oct 3, 2019 to Dec 19, 2019","Genco, MediaNet, Nippon Columbia, Ai Addiction, Shogakukan, ABC Animation, Happinet, HOBBY BASE Yellow Submarine",LIDENFILMS,Manga,"Game, Comedy, School, Shounen",6.73,32260,41,0.127,0,16,4,4
4182,Kousoku Denjin Albegus,TV,Bad,45,"Mar 30, 1983 to Feb 29, 1984",,Toei Animation,Unknown,Mecha,6.73,1371,4,0.292,3,22,0,1
4184,Mahou Shoujo Pretty Sammy (1996),TV,Bad,26,"Oct 4, 1996 to Mar 28, 1997","APPP, Pioneer LDC, Studio Tulip",AIC,Unknown,"Comedy, Parody, Magic, Fantasy, Seinen",6.73,5682,18,0.317,3,4,12,4
4185,Mayoi Neko Overrun!,TV,Bad,13,"Apr 6, 2010 to Jun 29, 2010","Geneon Universal Entertainment, Frontier Works, KlockWorx",AIC,Light novel,"Comedy, Harem, Romance",6.73,114214,200,0.175,1,4,39,2
4187,Nagato Yuki-chan no Shoushitsu,TV,Bad,16,"Apr 4, 2015 to Jul 18, 2015","Lantis, Kadokawa Shoten, AT-X, KlockWorx, chara-ani.com, Tokyo MX, Sankyo Planning, Docomo Anime Store, Kadokawa Media House",Satelight,Manga,"Comedy, Romance, School, Seinen, Slice of Life",6.73,104598,239,0.228,0,4,20,2
4193,Renai Boukun,TV,Bad,12,"Apr 7, 2017 to Jun 23, 2017","TV Tokyo, Sotsu, Half H.P Studio, DIVE II Entertainment, Avex Pictures",EMT Squared,Web manga,"Harem, Comedy, Supernatural, Romance, Ecchi, School",6.73,246711,551,0.223,0,39,4,2
4194,Sasami: Mahou Shoujo Club 2,TV,Bad,13,"Oct 5, 2006 to Jan 11, 2007",AIC Spirits,,Unknown,"Fantasy, Magic, School",6.73,3434,4,0.116,3,7,6,4
4197,Suki na Mono wa Suki Dakara Shou ga Nai!!,TV,Bad,12,"Jan 9, 2005 to Mar 27, 2005","Bandai Visual, Lantis, Movic",Zexcs,Visual novel,"Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life",6.73,42057,246,0.585,1,4,5,1
4199,Teekyuu 5,TV,Bad,12,"Jul 7, 2015 to Sep 22, 2015","DAX Production, Earth Star Entertainment",Millepensee,Manga,"Comedy, Shounen, Sports",6.73,15548,14,0.09,0,4,8,3
4203,Tsukipro The Animation,TV,Bad,13,"Oct 4, 2017 to Dec 27, 2017","Studio Pierrot, Movic, Bandai Namco Entertainment, Docomo Anime Store, AZ Creative",PRA,Music,Music,6.73,12544,102,0.813,4,28,0,4
4206,Uta∽Kata,TV,Bad,12,"Oct 3, 2004 to Dec 19, 2004","Bandai Visual, gimik",Hal Film Maker,Original,"Psychological, Drama, Magic",6.73,21549,67,0.311,5,26,5,4
4207,Wanwan Sanjuushi,TV,Bad,26,"Oct 2, 1981 to Mar 26, 1982",,Nippon Animation,Unknown,"Adventure, Historical",6.73,2245,10,0.445,3,3,11,4
4208,Weiß Kreuz,TV,Bad,25,"Apr 9, 1998 to Oct 1, 1998","animate Film, Polygram Japan","Plum,       Magic Bus",Original,"Action, Drama, Shounen",6.73,16202,171,1.055,5,1,5,2
4210,Nobunagun,TV,Bad,13,"Jan 5, 2014 to Mar 30, 2014","VAP, Earth Star Entertainment",Bridge,Manga,"Action, Sci-Fi, Super Power",6.72,58484,124,0.212,0,1,10,1
4211,Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,TV,Bad,12,"Apr 4, 2011 to Jun 20, 2011","Lantis, Delfi Sound, Marvelous AQL, Studio Jack",Nomad,Visual novel,"Comedy, Drama, Ecchi, Harem, Romance",6.72,74070,158,0.213,1,4,5,2
4212,Pokemon Best Wishes! Season 2: Episode N,TV,Bad,14,"Jan 17, 2013 to Apr 18, 2013",TV Tokyo,OLM,Game,"Action, Adventure, Comedy, Kids, Fantasy",6.71,29282,72,0.246,2,1,3,1
4218,Soushin Shoujo Matoi,TV,Bad,12,"Oct 4, 2016 to Dec 20, 2016","Bandai Visual, Lantis, Nihon Ad Systems, Movic, Half H.P Studio, KBS, Q-Tec, Medicos Entertainment, Infinite",White Fox,Original,"Supernatural, Magic",6.72,21904,28,0.128,5,19,6,4
4219,Tenshi ni Narumon!,TV,Bad,26,"Apr 7, 1999 to Sep 29, 1999","TV Tokyo, Broccoli, Yomiko Advertising",Studio Pierrot,Original,"Comedy, Romance, Vampire, Fantasy",6.72,5800,43,0.741,5,4,20,2
4221,Tsukumogami Kashimasu,TV,Bad,12,"Jul 23, 2018 to Oct 15, 2018","TMS Entertainment, Sony Music Communications, Being, Universal Music Japan, Kadokawa, NHK Enterprises",Telecom Animation Film,Novel,"Slice of Life, Comedy, Historical, Demons, Supernatural",6.72,13014,6,0.046,0,18,4,3
4223,Argonavis from BanG Dream!,TV,Bad,13,"Apr 11, 2020 to Jul 4, 2020",Bushiroad,SANZIGEN,Original,Music,6.72,6756,54,0.799,5,28,0,2
4224,Azuki-chan,TV,Bad,117,"Apr 4, 1995 to Mar 17, 1998",,Madhouse,Manga,"Comedy, Romance, Shoujo, Slice of Life",6.72,2237,7,0.313,0,4,20,2
4228,Bouken Ou Beet Excellion,TV,Bad,25,"Oct 6, 2005 to Mar 30, 2006","TV Tokyo, Dentsu",Toei Animation,Manga,"Adventure, Fantasy, Shounen, Supernatural",6.72,6669,6,0.09,0,3,7,4
4229,Cheer Danshi!!,TV,Bad,12,"Jul 5, 2016 to Sep 27, 2016","Bandai Visual, Lantis, Nihon Ad Systems, Tokyo MX, Shueisha, Sony PCL",Brain's Base,Novel,"Sports, Drama, School",6.72,51232,110,0.215,0,23,5,3
4231,Concrete Revolutio: Choujin Gensou,TV,Bad,13,"Oct 4, 2015 to Dec 27, 2015","Bandai Visual, Lantis, Tokyo MX, Animatic, Hakuhodo DY Media Partners, Techno Sound, Anime Consortium Japan",Bones,Original,"Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural",6.72,73488,193,0.263,5,1,31,4
4237,Dragon Crisis!,TV,Bad,12,"Jan 11, 2011 to Mar 29, 2011","Yomiuri Telecasting, Starchild Records, Kids Station, DAX Production, Shueisha",Studio Deen,Light novel,"Action, Magic, Romance, School, Seinen, Supernatural",6.72,145028,312,0.215,1,1,6,1
4240,Granblue Fantasy The Animation,TV,Bad,13,"Apr 2, 2017 to Jun 25, 2017","Aniplex, Tohokushinsha Film Corporation, Cygames",A-1 Pictures,Game,"Adventure, Fantasy",6.72,136585,241,0.176,2,3,7,2
4241,Harukana Receive,TV,Bad,12,"Jul 6, 2018 to Sep 21, 2018",,C2C,Manga,"Slice of Life, Sports",6.72,75606,122,0.161,0,18,23,3
4242,Hataage! Kemono Michi,TV,Bad,12,"Oct 2, 2019 to Dec 18, 2019","AT-X, Nippon Columbia, Sammy, Kadokawa Media House, Kadokawa, CA-Cygames Anime Fund",ENGI,Manga,"Comedy, Fantasy, Shounen",6.72,123314,195,0.158,0,4,7,4
4245,Kinnikuman: Kinnikusei Oui Soudatsu-hen,TV,Bad,46,"Oct 6, 1991 to Sep 27, 1992",Nippon Television Network,Toei Animation,Manga,"Action, Comedy, Sports, Shounen",6.72,1935,9,0.465,0,1,4,4
4246,Kiss x Sis (TV),TV,Bad,12,"Apr 5, 2010 to Jun 21, 2010",Starchild Records,feel.,Manga,"Harem, Comedy, Romance, Ecchi, School, Seinen",6.72,412330,1483,0.36,0,39,4,2
4249,Lostorage Incited WIXOSS,TV,Bad,12,"Oct 8, 2016 to Dec 24, 2016",Warner Bros. Japan,J.C.Staff,Card game,"Game, Psychological",6.72,47084,86,0.183,2,16,26,4
4251,Mayonaka no Occult Koumuin,TV,Bad,12,"Apr 8, 2019 to Jun 24, 2019",,LIDENFILMS,Manga,"Demons, Fantasy, Mystery, Shoujo, Supernatural",6.72,46520,87,0.187,0,31,7,2
4252,Mikagura Gakuen Kumikyoku (TV),TV,Bad,12,"Apr 7, 2015 to Jun 23, 2015","Media Factory, Movic, AT-X, Showgate",Doga Kobo,Light novel,"Action, Comedy, School, Shoujo Ai",6.72,75290,174,0.231,1,1,4,2
4254,30-sai no Hoken Taiiku,TV,Bad,12,"Apr 7, 2011 to Jun 23, 2011",,Gathering,Book,"Ecchi, Parody, Romance, Seinen",6.71,51927,68,0.131,1,35,12,2
4255,Aishite Knight,TV,Bad,42,"Mar 1, 1983 to Jan 24, 1984",,Toei Animation,Manga,"Comedy, Romance, Shoujo",6.71,6365,40,0.628,0,4,20,1
4257,Bakuretsu Hunters,TV,Bad,26,"Oct 3, 1995 to Mar 26, 1996","Sotsu, Movic, TV Tokyo Music",Xebec,Manga,"Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen, Supernatural",6.71,16500,41,0.248,0,3,4,4
4258,Beyblade Burst God,TV,Bad,51,"Apr 3, 2017 to Mar 26, 2018","TV Tokyo, d-rights",OLM,Original,"Action, Adventure, Sci-Fi, Shounen, Sports",6.71,6585,88,1.336,5,1,3,2
4263,Eureka Seven AO,TV,Bad,24,"Apr 13, 2012 to Nov 20, 2012","Bandai Visual, Kadokawa Shoten, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Games, Sammy, Hakuhodo DY Media Partners, Bandai Channel",Bones,Manga,"Action, Adventure, Drama, Mecha, Sci-Fi",6.71,81322,205,0.252,0,1,3,2
4265,Gad Guard,TV,Bad,26,"Apr 16, 2003 to Sep 25, 2003","Hal Film Maker, Media Factory, Imagica, Amber Film Works, Imagine",Gonzo,Original,"Sci-Fi, Adventure, Mecha, Shounen",6.71,11677,21,0.18,5,10,3,2
4266,Ginyuu Mokushiroku Meine Liebe Wieder,TV,Bad,13,"Jan 22, 2006 to Apr 13, 2006","Geneon Universal Entertainment, Marvelous",Bee Train,Visual novel,"Drama, Fantasy, Shoujo",6.71,6350,14,0.22,1,5,7,1
4273,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,TV,Bad,52,"Apr 6, 2005 to Mar 29, 2006","TV Tokyo, Yomiuri Advertising",TMS Entertainment,Card game,Fantasy,6.71,2466,9,0.365,2,7,0,2
4280,Marginal#4: Kiss kara Tsukuru Big Bang,TV,Bad,12,"Jan 12, 2017 to Mar 30, 2017","Sotsu, Movic, Warner Bros. Japan, KlockWorx",J.C.Staff,Music,"Comedy, Music, School",6.71,13257,86,0.649,4,4,28,1
4282,Meiken Jolie,TV,Bad,52,"Apr 7, 1981 to Jun 22, 1982","NHK, Toho",Visual 80,Novel,"Adventure, Historical",6.71,1955,5,0.256,0,3,11,2
4284,Nana Maru San Batsu,TV,Bad,12,"Jul 5, 2017 to Sep 20, 2017","Toei Video, Enterbrain, Nippon Television Network",TMS Entertainment,Manga,"Game, School, Seinen",6.71,62023,77,0.124,0,16,24,3
4285,Nekketsu Saikyou Go-Saurer,TV,Bad,51,"Mar 3, 1993 to Feb 23, 1994",Yomiuri Advertising,Sunrise,Original,"Action, Sci-Fi, Mecha",6.71,886,6,0.677,5,1,10,1
4287,Osomatsu-kun (1988),TV,Bad,86,"Feb 13, 1988 to Dec 30, 1989","Fuji TV, Yomiuri Advertising, Fujipacific Music",Studio Pierrot,Manga,Comedy,6.71,4320,27,0.625,0,4,0,1
4288,Papa to Odorou,TV,Bad,16,"Jul 5, 1999 to Jul 24, 1999",,Studio Deen,Unknown,Comedy,6.71,1001,4,0.4,3,4,0,3
4289,Pretty Rhythm: Dear My Future,TV,Bad,51,"Apr 7, 2012 to Mar 30, 2013",,"Tatsunoko Production,       Dongwoo A&E",Game,"Slice of Life, Sports, Music, Shoujo",6.71,6366,33,0.518,2,18,23,2
4293,Rewrite,TV,Bad,13,"Jul 2, 2016 to Sep 24, 2016","Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, Magic Capsule, ASCII Media Works, Bushiroad, Tokyo MX, BS11, Lawson",8bit,Visual novel,"Action, Comedy, Supernatural, Romance, School",6.71,164249,562,0.342,1,1,4,3
4296,Shinzou Ningen Casshern,TV,Bad,35,"Oct 2, 1973 to Jun 25, 1974",,Tatsunoko Production,Original,"Action, Sci-Fi, Adventure",6.71,4791,14,0.292,5,1,10,4
4297,Spider Riders: Yomigaeru Taiyou,TV,Bad,26,"Apr 14, 2007 to Oct 13, 2007","Bee Train, TV Tokyo, Yomiko Advertising, Cookie Jar Entertainment",,Novel,"Action, Adventure, Mecha",6.71,3474,7,0.201,0,1,3,2
4300,Taiyou no Yuusha Fighbird,TV,Bad,48,"Feb 2, 1991 to Feb 1, 1992",Nagoya Broadcasting Network,Sunrise,Unknown,"Action, Mecha, Sci-Fi",6.71,2355,10,0.425,3,1,22,1
4303,Night Wizard,TV,Bad,13,"Oct 3, 2007 to Dec 26, 2007",TYO,Hal Film Maker,Game,"Adventure, Fantasy, Magic, Shounen",6.7,33402,58,0.174,2,3,7,4
4304,Nobunaga the Fool,TV,Bad,24,"Jan 6, 2014 to Jun 23, 2014","TV Tokyo, Sotsu, Lantis, Media Factory",Satelight,Other,"Action, Historical, Mecha, Sci-Fi",6.7,86122,172,0.2,3,1,11,1
4307,Recorder to Randoseru Do♪,TV,Bad,13,"Jan 6, 2012 to Mar 28, 2012","Takeshobo, Dream Creation",Seven,4-koma manga,"Comedy, School, Seinen, Slice of Life",6.7,42853,21,0.049,0,4,24,1
4309,Shinkon Gattai Godannar!!,TV,Bad,13,"Oct 1, 2003 to Dec 24, 2003",AIC,OLM,Original,"Ecchi, Comedy, Mecha, Romance, Sci-Fi",6.7,13860,35,0.253,5,35,4,4
4310,Shutsugeki! Machine Robo Rescue,TV,Bad,53,"Jan 8, 2003 to Jan 3, 2004","TV Tokyo, Bandai Visual, Lantis",Sunrise,Unknown,"Action, Mecha, Sci-Fi",6.7,1259,5,0.397,3,1,22,1
4316,Zinba,TV,Bad,52,"Aug 26, 2013 to 2014",B.CMAY PICTURES,,Unknown,"Action, Adventure, Comedy, Super Power, Demons, Magic",6.7,946,78,8.245,3,1,3,3
4317,Aiura,TV,Bad,12,"Apr 10, 2013 to Jun 26, 2013","Pony Canyon, Tohokushinsha Film Corporation",LIDENFILMS,4-koma manga,"Comedy, School, Shounen, Slice of Life",6.7,67610,148,0.219,0,4,24,2
4319,B-Project: Zecchou*Emotion,TV,Bad,12,"Jan 12, 2019 to Mar 30, 2019","AT-X, Dwango, MAGES., Asahi Broadcasting, Tochigi TV",Bandai Namco Pictures,Music,"Music, Shoujo",6.7,10072,66,0.655,4,28,32,1
4320,Bakegyamon,TV,Bad,51,"Apr 3, 2006 to Mar 26, 2007","TV Tokyo, Dentsu",Radix,Manga,"Action, Demons, Fantasy, Game, Shounen",6.7,2514,16,0.636,0,1,31,2
4322,Battle Spirits: Burning Soul,TV,Bad,51,"Apr 1, 2015 to Mar 30, 2016",,Bandai Namco Pictures,Card game,Game,6.7,3035,17,0.56,2,16,0,2
4324,Chou Denji Robo Combattler V,TV,Bad,54,"Apr 17, 1976 to May 28, 1977",Studio Nue,"Sunrise,       Toei Animation",Unknown,"Sci-Fi, Adventure, Mecha, Shounen",6.7,2486,11,0.442,3,10,3,2
4329,Fireball,TV,Bad,13,"Apr 7, 2008 to Jun 30, 2008",Walt Disney Studios,Jinnis Animation Studios,Original,"Comedy, Sci-Fi",6.7,8750,24,0.274,5,4,10,2
4330,Gegege no Kitarou (1996),TV,Bad,114,"Jan 7, 1996 to Mar 29, 1998",,Toei Animation,Manga,"Adventure, Demons, Supernatural",6.7,2410,6,0.249,0,3,31,1
4334,Heisei Inu Monogatari Bow,TV,Bad,40,"Oct 14, 1993 to Sep 22, 1994",Daiichikosho,Nippon Animation,Original,"Adventure, Comedy",6.7,772,3,0.389,5,3,4,4
4336,Inazuma Eleven: Ares no Tenbin,TV,Bad,26,"Apr 6, 2018 to Sep 28, 2018","TV Tokyo, Dentsu",OLM,Game,Sports,6.7,22217,97,0.437,2,23,0,2
4337,Jungle Taitei (1989),TV,Bad,52,"Oct 12, 1989 to Oct 11, 1990","TV Tokyo, Tezuka Productions",,Manga,"Adventure, Drama",6.7,3276,9,0.275,0,3,5,4
4338,Juubee Ninpuuchou: Ryuuhougyoku-hen,TV,Bad,13,"Apr 15, 2003 to Jul 15, 2003",Studio Take Off,Madhouse,Original,"Adventure, Horror, Magic, Martial Arts, Samurai, Shounen, Supernatural",6.7,32507,83,0.255,5,3,29,2
4339,Kikou Senki Dragonar,TV,Bad,48,"Feb 7, 1987 to Jan 30, 1988","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,"Sci-Fi, Adventure, Space, Mecha",6.7,3899,12,0.308,5,10,3,1
4341,Mahou no Star Magical Emi,TV,Bad,38,"Jun 7, 1985 to Feb 28, 1986",,Studio Pierrot,Original,"Comedy, Magic, Shoujo, Slice of Life",6.7,3383,10,0.296,5,4,6,2
4342,Majime ni Fumajime Kaiketsu Zorori,TV,Bad,97,"Feb 13, 2005 to Jan 28, 2007",Nagoya Broadcasting Network,Ajia-Do,Unknown,"Adventure, Kids",6.7,855,5,0.585,3,3,36,1
4343,Mamotte! Lollipop,TV,Bad,13,"Jul 2, 2006 to Sep 24, 2006",Delfi Sound,Studio Comet,Manga,"Adventure, Comedy, Magic, Romance, Shoujo",6.7,19016,130,0.684,0,3,4,3
4344,Miyuki,TV,Bad,37,"Mar 31, 1983 to Apr 20, 1984",Kitty Films,,Manga,"Romance, School, Shounen",6.7,2837,8,0.282,0,20,24,1
4347,Moero! Top Striker,TV,Bad,49,"Oct 10, 1991 to Sep 24, 1992",Fuji TV,Nippon Animation,Unknown,"Action, Shounen, Sports",6.7,3350,11,0.328,3,1,8,4
4348,Muhyo to Rouji no Mahouritsu Soudan Jimusho,TV,Bad,12,"Aug 3, 2018 to Oct 19, 2018","Sony Pictures Entertainment, Lantis, Animax, Shueisha, JY Animation, Bandai Namco Arts, SKY PerfecTV!",Studio Deen,Manga,"Action, Mystery, Comedy, Supernatural, Drama, Shounen",6.7,38166,52,0.136,0,1,15,3
4350,Ai Tenshi Densetsu Wedding Peach,TV,Bad,51,"Apr 5, 1995 to Mar 27, 1996","KSS, Nihon Ad Systems, Studio Jack",OLM,Manga,"Adventure, Magic, Comedy, Romance, Shoujo",6.69,17740,117,0.66,0,3,6,2
4351,Alps Monogatari: Watashi no Annette,TV,Bad,48,"Jan 9, 1983 to Dec 25, 1983",,Nippon Animation,Book,"Slice of Life, Historical, Drama",6.69,2992,11,0.368,1,18,11,1
4355,Cardfight!! Vanguard G: GIRS Crisis-hen,TV,Bad,26,"Oct 11, 2015 to Apr 10, 2016","TV Tokyo, Dentsu, Sotsu, Bushiroad",TMS Entertainment,Original,"Action, Game, Shounen",6.69,7238,15,0.207,5,1,16,4
4356,Cardfight!! Vanguard G: Stride Gate-hen,TV,Bad,24,"Apr 17, 2016 to Sep 25, 2016",,TMS Entertainment,Original,"Action, Game, Shounen",6.69,6267,11,0.176,5,1,16,2
4357,Chain Chronicle: Haecceitas no Hikari,TV,Bad,12,"Jan 8, 2017 to Mar 26, 2017","Bandai Visual, Sotsu, Sega, flying DOG, Slow Curve, Showgate, Sound Team Don Juan, Hakuhodo DY Music & Pictures, Sammy, Pazzy Entertainment, Akatsuki","Telecom Animation Film,       Graphinica",Game,"Action, Adventure, Fantasy, Magic",6.69,86986,154,0.177,2,1,3,1
4359,Dan Doh!!,TV,Bad,26,"Apr 3, 2004 to Sep 25, 2004","TV Tokyo, HoriPro",Tokyo Kids,Manga,"Adventure, Sports, Shounen",6.69,3402,5,0.147,0,3,23,2
4360,DNA²,TV,Bad,12,"Oct 7, 1994 to Dec 23, 1994","Starchild Records, Movic, Nippon Television Network","Madhouse,       Studio Deen",Manga,"Sci-Fi, Comedy, Romance",6.69,35107,92,0.262,0,10,4,4
4362,Fight Ippatsu! Juuden-chan!!,TV,Bad,12,"Jun 25, 2009 to Sep 9, 2009","Avex Entertainment, Genco, Mobcast",Studio Hibari,Manga,"Ecchi, Comedy, Sci-Fi, Shounen",6.69,28460,50,0.176,0,35,4,2
4363,Ginga Senpuu Braiger,TV,Bad,39,"Oct 6, 1981 to Jun 30, 1982",Kokusai Eigasha,Toei Animation,Original,"Action, Sci-Fi, Adventure, Space, Mecha",6.69,1720,17,0.988,5,1,10,4
4364,Girls Bravo: Second Season,TV,Bad,13,"Jan 27, 2005 to Apr 21, 2005","WOWOW, Lantis, Kadokawa Shoten, Rakuonsha, KlockWorx, Happinet Pictures, Studio Jack",AIC Spirits,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",6.69,77352,147,0.19,0,39,4,1
